X,Y,OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,PREFERRED_CITY,FEATURE_SOURCE,COUNTY_NAME
-122.202454356642,47.620601262885,1,98009,98009,033,PO Box,BELLEVUE,Placed Point,King County
-122.186795283234,47.611861281919,2,98015,98015,033,PO Box,BELLEVUE,Placed Point,King County
-121.972726333818,47.4199353437703,3,98025,98025,033,PO Box,HOBART,Placed Point,King County
-122.234415792243,47.3805923948341,4,98035,98035,033,PO Box,KENT,Placed Point,King County
-122.199724352482,47.7611498722798,5,98041,98041,033,PO Box,BOTHELL,Placed Point,King County
-122.361610249976,47.4669369014453,6,98062,98062,033,PO Box,SEAHURST,Placed Point,King County
-122.314201649431,47.3071277788209,7,98063,98063,033,PO Box,FEDERAL WAY,Placed Point,King County
-122.199165066478,47.3873730986476,8,98064,98064,033,PO Box,KENT,Placed Point,King County
-122.230054053043,47.3104818791537,9,98071,98071,033,PO Box,AUBURN,Placed Point,King County
-122.194421233998,47.6785185126036,10,98083,98083,033,PO Box,KIRKLAND,Placed Point,King County
-122.357513187298,47.3001530036936,11,98093,98093,033,PO Box,FEDERAL WAY,Placed Point,King County
-122.328387427198,47.581518417513,12,98124,98124,033,PO Box,SEATTLE,Placed Point,King County
-122.254990389499,47.4567556377055,13,98138,98138,033,PO Box,SEATTLE,Placed Point,King County
-122.312844861398,47.6595170252473,14,98145,98145,033,PO Box,SEATTLE,Placed Point,King County
-122.346375176962,47.7336833986932,15,98160,98160,033,PO Box,SEATTLE,Placed Point,King County
-122.338619380061,47.6113840546446,16,98181,98181,033,Unique,SEATTLE,Placed Point,King County
-122.333624866559,47.606268348903,17,98185,98185,033,Unique,SEATTLE,Placed Point,King County
-122.334453982314,47.6132078531056,18,98191,98191,033,Unique,SEATTLE,Placed Point,King County
-122.231312626889,47.2164130209037,19,98352,98352,053,Unique,SUMNER,Placed Point,Pierce County
-122.442257581426,47.1466767189872,20,98447,98447,053,Unique,TACOMA,Placed Point,Pierce County
-122.465592247558,47.3902002935858,21,98013,98013,053,PO Box,BURTON,Placed Point,Pierce County
-122.325328492724,47.8110231088666,22,98046,98046,061,PO Box,LYNNWOOD,Placed Point,Snohomish County
-122.322341058937,47.3489204465413,23,98054,98054,033,Former,REDONDO,Placed Point,King County
-122.510710011154,47.6644503435066,24,98061,98061,035,PO Box,ROLLINGBAY,Placed Point,Kitsap County
-122.094660730774,47.6698005724677,25,98073,98073,033,PO Box,REDMOND,Placed Point,King County
-122.219347775182,47.8538905748664,26,98082,98082,061,PO Box,BOTHELL,Placed Point,Snohomish County
-122.294394651592,47.391504360143,27,98089,98089,033,PO Box,KENT,Placed Point,King County
-122.336415740994,47.6087164966622,28,98111,98111,033,PO Box,SEATTLE,Placed Point,King County
-122.354884658081,47.6893685644697,29,98113,98113,033,PO Box,SEATTLE,Placed Point,King County
-122.326089706896,47.5986266468448,30,98114,98114,033,PO Box,SEATTLE,Placed Point,King County
-122.37839505587,47.6703920087411,31,98127,98127,033,PO Box,SEATTLE,Placed Point,King County
-122.336910383763,47.6168391897021,32,98129,98129,033,Unique,SEATTLE,Placed Point,King County
-122.398949836458,47.6394004593425,33,98139,98139,033,PO Box,SEATTLE,Placed Point,King County
-122.335327813878,47.6045818085988,34,98174,98174,033,Standard,SEATTLE,Placed Point,King County
-122.335149223727,47.599077576915,35,98194,98194,033,PO Box,SEATTLE,Placed Point,King County
-122.334694199881,47.6075601026162,36,98161,98161,033,Standard,SEATTLE,Placed Point,King County
-122.2953270493,47.7209386172117,37,98165,98165,033,PO Box,SEATTLE,Placed Point,King County
-122.336764813614,47.6222807107673,38,98170,98170,033,Unique,SEATTLE,Placed Point,King County
-122.250715824282,47.4299617888947,39,98189,98189,033,Unique,SEATTLE,Placed Point,King County
-121.554096249801,47.8203854212688,40,98256,98256,061,PO Box,INDEX,Placed Point,Snohomish County
-121.742305459765,47.8672937748913,41,98293,98293,061,PO Box,STARTUP,Placed Point,Snohomish County
-122.544615678464,47.5547451234031,42,98353,98353,035,PO Box,MANCHESTER,Placed Point,Kitsap County
-122.523516120845,47.5221557328737,43,98384,98384,035,PO Box,SOUTH COLBY,Placed Point,Kitsap County
-122.61527839719,47.5455528248898,44,98378,98378,035,PO Box,RETSIL,Placed Point,Kitsap County
-122.655761088031,47.6109066797296,45,98393,98393,035,PO Box,TRACYTON,Placed Point,Kitsap County
-122.500949345354,47.5123368595437,46,98386,98386,035,PO Box,SOUTHWORTH,Placed Point,Kitsap County
-122.58424231381,47.8557618902796,47,98364,98364,035,PO Box,PORT GAMBLE,Placed Point,Kitsap County
-122.096741217666,47.927296290071,48,98291,98291,061,PO Box,SNOHOMISH,Placed Point,Snohomish County
-122.210533091656,47.9761351588577,49,98206,98206,061,PO Box,EVERETT,Placed Point,Snohomish County
-122.208369434261,48.1517399036722,50,98259,98259,061,PO Box,NORTH LAKEWOOD,Placed Point,Snohomish County
-122.210537082544,47.9759864970507,51,98213,98213,061,PO Box,EVERETT,Placed Point,Snohomish County
-122.216783750192,47.9911624074439,52,98207,98207,061,Unique,EVERETT,Placed Point,Snohomish County
-122.25223497006,48.2007533112222,53,98287,98287,061,PO Box,SILVANA,Placed Point,Snohomish County
-121.892367564861,47.3144080463991,54,98048,98048,033,Former,PALMER,Placed Point,King County
-122.595865652843,47.1206510577101,55,98434,98434,053,Former,NORTH FORT LEWIS,Placed Point,Pierce County
-122.575609169327,47.1352229792438,56,98493,98493,053,Unique,TACOMA,Placed Point,Pierce County
-122.265116253923,47.3095287282866,57,98001,98001,033,Standard,AUBURN,Polygon Centroid,King County
-122.215721714536,47.3081330608912,58,98002,98002,033,Standard,AUBURN,Polygon Centroid,King County
